Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0603_1608Metric",70.623956,-66.412384,180.000000,top
"C2","100n","C_0603_1608Metric",76.269031,-57.908381,90.000000,top
"C3","1n","C_0603_1608Metric",74.269031,-57.908381,90.000000,top
"C4","10u","C_0805_2012Metric",52.000000,-74.175000,-90.000000,top
"C5","100n","C_0603_1608Metric",66.810058,-66.425421,0.000000,top
"C6","100n","C_0603_1608Metric",67.543165,-75.018199,0.000000,top
"C7","10n","C_0603_1608Metric",67.538087,-73.397993,0.000000,top
"C8","10u","C_0805_2012Metric",64.500000,-74.277310,-90.000000,top
"H1","MountingHole","MountingHole_2.5mm",57.035000,-37.391000,0.000000,top
"H2","MountingHole","MountingHole_2.5mm",57.035000,-79.301000,0.000000,top
"H3","MountingHole","MountingHole_3.2mm_M3",70.000000,-37.391000,0.000000,top
"H4","MountingHole","MountingHole_3.2mm_M3",70.000000,-87.000000,0.000000,top
"H5","MountingHole","MountingHole_3.2mm_M3",90.000000,-37.391000,0.000000,top
"H6","MountingHole","MountingHole_3.2mm_M3",90.000000,-87.000000,0.000000,top
"IC2","DS90LV027ATM_NOPB","SOIC127P600X175-8N",78.000000,-62.500000,0.000000,top
"IC3","D9LVRA2DEMRQ1","SON50P200X200X80-8N",69.750000,-71.148037,180.000000,top
"J1","QTH-020-01-F-D-DP-A","SAMTEC_QTH-020-01-X-D-DP-A",58.000000,-66.175000,-90.000000,top
"J2","MDM-9SBSP","MDM9SBSP",88.500000,-69.660000,-90.000000,top
"R1","100","R_0402_1005Metric",71.998028,-72.159934,-90.000000,top
"R2","100","R_0402_1005Metric",71.998028,-70.209432,-90.000000,top
"R3","47k","R_0603_1608Metric",64.123956,-62.175000,90.000000,top
"R4","47k","R_0603_1608Metric",64.123956,-65.350000,-90.000000,top
"R5","47k","R_0603_1608Metric",72.681239,-60.988619,90.000000,top
"R6","47k","R_0603_1608Metric",72.695721,-64.087338,-90.000000,top
"U1","SN74AVC2T45DCTR","DCT8",68.123956,-63.500000,180.000000,top
